"S.No.","Division..Seat.No.","Name.of.Member","State","No.of.days.member.signed.the.register","Total","Session"
1,0,"Dr. Akhilesh Das Gupta","UP ","5",23,218
2,0,"Shri M. Rajasekara Murthy","KAR ","15",23,218
3,0,"Shri Varinder Singh Bajwa","PB ","9",23,218
4,0,"Shri Dharam Pal Sabharwal","PB ","23",23,218
5,0,"Shri Shivraj Vishwanath Patil","MH ","21",23,218
6,0,"Shri Avtar Singh Karimpuri","UP ","21",23,218
7,0,"Smt. Kusum Rai","UP ","11",23,218
8,0,"Shri Brajesh Pathak","UP ","6",23,218
9,0,"Shri Mohammed Adeeb","UP ","22",23,218
10,0,"Shri S.M. Krishna","KAR ","M",23,218
11,1,"Shri Arun Jaitley","UP ","LOP",23,218
12,7,"*Shri Anil Madhav Dave","MP ","9",23,218
13,8,"Shri Kaptan Singh Solanki","MP ","20",23,218
14,8,"Shri Parshottam Rupala","GJ ","10",23,218
15,9,"*Shri Rishang Keishing","MN ","13",23,218
16,10,"Shri R.K. Dhawan","BR ","15",23,218
17,10,"Shri Prithviraj Chavan","MH ","M",23,218
18,12,"*Ms. Sushila Tiriya","OR ","16",23,218
19,12,"Shri Nand Kumar Sai","CHT ","9",23,218
20,15,"Dr. Prabha Thakur","RJ ","10",23,218
21,16,"Prof. Alka Balram Kshatriya","GJ ","22",23,218
22,18,"Shri Silvius Condpan","AS ","23",23,218
23,24,"Shri M. Venkaiah Naidu","RJ ","14",23,218
24,25,"Shri Ravi Shankar Prasad","BR ","14",23,218
25,29,"Shri Prakash Javadekar","MH ","19",23,218
26,31,"Shri G.K. Vasan","TN ","M",23,218
27,32,"Shri M. Rama Jois","KAR ","23",23,218
28,37,"Shri Santosh Bagrodia","RJ ","20",23,218
29,38,"Smt. Jayanthi Natarajan","TN ","14",23,218
30,38,"Shri Sanjay Raut","MH ","9",23,218
31,39,"Dr. Najma A. Heptulla","MP ","21",23,218
32,39,"Shri Om Prakash Mathur","RJ ","16",23,218
33,41,"*Dr. C.P. Thakur","BR ","6",23,218
34,41,"Ms. Mabel Rebello","JHK ","9",23,218
35,41,"Shri Nandi Yellaiah","AP ","16",23,218
36,42,"*Shri Prabhat Jha","MP ","7",23,218
37,45,"Shri Naresh Gujral","PB ","21",23,218
38,46,"Smt. Syeda Anwara Taimur","AS ","16",23,218
39,48,"Shri Parimal Nathwani","JHK ","8",23,218
40,49,"Shri Rama Chandra Khuntia","OR ","12",23,218
41,50,"Shri Raashid Alvi","AP ","21",23,218
42,50,"Dr. Ram Prakash","HR ","23",23,218
43,51,"Shri Vinay Katiyar","UP ","9",23,218
44,52,"Shri Rajeev Chandrasekhar","KAR ","16",23,218
45,52,"Dr. Dasari Narayana Rao","AP ","3",23,218
46,53,"Shri Rajkumar Dhoot","MH ","10",23,218
47,53,"Shri Arjun Kumar Sengupta","WB ","17",23,218
48,54,"Shri G. Sanjeeva Reddy","AP ","13",23,218
49,55,"Shri B. S. Gnanadesikan","TN ","15",23,218
50,56,"Shri Ishwar Singh","HR ","23",23,218
51,58,"Shri Lalhming Liana","MZ ","17",23,218
52,64,"Smt. T. Ratna Bai","AP ","22",23,218
53,66,"Shri Anil H. Lad","KAR ","16",23,218
54,70,"Dr. Radhakant Nayak","OR ","10",23,218
55,71,"Shri Gireesh Kumar Sanghi","AP ","13",23,218
56,73,"Shri Hemant Soren","JHK ","2",23,218
57,74,"Shri Biswajit Daimary","AS ","19",23,218
58,74,"*Shri Swapan Sadhan Bose","WB ","5",23,218
59,75,"Dr. N. Janardhana Reddy","AP ","16",23,218
60,79,"Shri Tariq Anwar","MH ","20",23,218
61,83,"Smt. Brinda Karat","WB ","21",23,218
62,83,"Shri Moinul Hassan","WB ","19",23,218
63,84,"Dr. Yogendra P. Trivedi","MH ","14",23,218
64,85,"Shri Jabir Husain","BR ","20",23,218
65,86,"Dr. V. Maitreyan","TN ","7",23,218
66,87,"Shri A. Vijayaraghavan","KR ","18",23,218
67,87,"Shri Mukul Roy","WB ","M",23,218
68,88,"Shri Shyamal Chakraborty","WB ","18",23,218
69,89,"Dr. Mahendra Prasad","BR ","20",23,218
70,90,"Shri Rajniti Prasad","BR ","22",23,218
71,91,"Shri Subhash Prasad Yadav","BR ","7",23,218
72,92,"Shri B.B. Tiwari","UP ","19",23,218
73,95,"Shri Tarini Kanta Roy","WB ","19",23,218
74,95,"Shri Penumalli Madhu","AP ","19",23,218
75,96,"Shri Matilal Sarkar","TR ","20",23,218
76,97,"Shri H.K. Dua","NOM. ","17",23,218
77,98,"*Smt. Shobhana Bhartia","NOM. ","10",23,218
78,99,"Shri Shyam Benegal","NOM. ","13",23,218
79,100,"*Dr. Ashok S. Ganguly","NOM. ","6",23,218
80,102,"Prof. M.S. Swaminathan","NOM. ","12",23,218
81,103,"Dr.(Smt.) Kapila Vatsyayan","NOM. ","21",23,218
82,105,"Sardar Tarlochan Singh","HR ","23",23,218
83,106,"Dr. Janardhan Waghmare","MH ","22",23,218
84,107,"Smt. Vasanthi Stanley","TN ","22",23,218
85,107,"Shri Khekiho Zhimomi","NG ","10",23,218
86,112,"Shri Veer Pal Singh Yadav","UP ","20",23,218
87,115,"*Shri O.T. Lepcha","SK ","17",23,218
88,117,"*Shri Thomas Sangma","MGH ","16",23,218
89,118,"Shri Ranjitsinh Vijaysinh Mohite-Patil","MH ","15",23,218
90,120,"Shri A.A. Jinnah","TN ","19",23,218
91,122,"Shri Amar Singh","UP ","17",23,218
92,124,"*Shri Mahmood A. Madani","UP ","11",23,218
93,125,"Shri R.C. Singh","WB ","22",23,218
94,126,"*Shri Sitaram Yechury","WB ","19",23,218
95,126,"Shri Janeshwar Mishra","UP ","23",23,218
96,127,"Prof. Ram Gopal Yadav","UP ","19",23,218
97,128,"Shri Shivanand Tiwari","BR ","15",23,218
98,129,"Dr. K. Keshava Rao","AP ","10",23,218
99,130,"Shri Tapan Kumar Sen","WB ","22",23,218
100,130,"Shri Prasanta Chatterjee","WB ","22",23,218
101,130,"Shri P. Rajeeve","KR ","21",23,218
102,132,"Shri Satish Chandra Misra","UP ","6",23,218
103,133,"Dr. K. Malaisamy","TN ","22",23,218
104,133,"Smt. Kanimozhi","TN ","9",23,218
105,134,"Shri N. K. Singh","BR ","20",23,218
106,134,"Shri T.K. Rangarajan","TN ","17",23,218
107,135,"Shri D. Raja","TN ","22",23,218
108,135,"Shri Mohammed Amin","WB ","18",23,218
109,136,"Dr. Anbumani Ramadoss","TN ","1",23,218
110,136,"Shri Kishore Kumar Mohanty","OR ","20",23,218
111,137,"Shri Virendra Bhatia","UP ","13",23,218
112,139,"Shri Ambeth Rajan","UP ","21",23,218
113,141,"Smt. Jaya Bachchan","UP ","21",23,218
114,142,"Shri Kamal Akhtar","UP ","13",23,218
115,143,"*Shri Mahendra Mohan","UP ","12",23,218
116,144,"Shri Mangala Kisan","OR ","23",23,218
117,146,"Shri M.V. Mysura Reddy","AP ","17",23,218
118,147,"Shri Veer Singh","UP ","10",23,218
119,148,"Shri Abani Roy","WB ","19",23,218
120,148,"Dr. Barun Mukherji","WB ","15",23,218
121,149,"Shri Syed Azeez Pasha","AP ","16",23,218
122,151,"Shri Ram Narayan Sahu","UP ","16",23,218
123,152,"Shri Bhagwati Singh","UP ","22",23,218
124,152,"Shri Munquad Ali","UP ","7",23,218
125,152,"Smt. Renubala Pradhan","OR ","15",23,218
126,153,"Shri Rajaram","UP ","11",23,218
127,153,"Shri Jai Prakash","UP ","6",23,218
128,154,"Shri Ganga Charan","UP ","9",23,218
129,155,"Shri Brijlal Khabri","UP ","3",23,218
130,156,"*Shri Rahul Bajaj","MH ","16",23,218
131,156,"*Shri Pyarimohan Mohapatra","OR ","9",23,218
132,157,"Shri Saman Pathak","WB ","21",23,218
133,158,"Shri Amir Alam Khan","UP ","9",23,218
134,159,"Shri Nand Kishore Yadav","UP ","18",23,218
135,160,"Shri M.P. Achuthan","KR ","10",23,218
136,161,"Shri Nandamuri Harikrishna","AP ","14",23,218
137,161,"Dr. M.A.M. Ramaswamy","KAR ","1",23,218
138,164,"Shri Sharad Anantrao Joshi","MH ","21",23,218
139,166,"Shri Ahmad Saeed Malihabadi","WB ","18",23,218
140,167,"Shri Sabir Ali","BR ","16",23,218
141,168,"Shri P.R. Rajan","KR ","20",23,218
142,168,"Shri Ali Anwar Ansari","BR ","18",23,218
143,171,"Shri K.E. Ismail","KR ","7",23,218
144,175,"Shri Shriram Pal","UP ","6",23,218
145,177,"Dr. Manohar Joshi","MH ","16",23,218
146,177,"Shri Anand Sharma","HP ","M",23,218
147,178,"Shri A.K. Antony","KR ","M",23,218
148,179,"Dr. Karan Singh","DL ","18",23,218
149,179,"Shri Shanta Kumar","HP ","20",23,218
150,180,"Shri S.S. Ahluwalia","JHK ","22",23,218
151,180,"Dr. Manmohan Singh","AS ","PM",23,218
152,181,"*Shri Ahmed Patel","GJ ","14",23,218
153,182,"Shri Rajiv Pratap Rudy","BR ","21",23,218
154,183,"Shri Vikram Verma","MP ","14",23,218
155,183,"Shri K. Rahman Khan","KAR ","HDC",23,218
156,184,"Shri Motilal Vora","CHT ","23",23,218
157,184,"Shri Janardan Dwivedi","DL ","23",23,218
158,185,"Shri Arun Shourie","UP ","18",23,218
159,185,"Shri Prem Chand Gupta","JHK ","21",23,218
160,185,"Shri Balavant alias Bal Apte","MH ","16",23,218
161,187,"Shri Oscar Fernandes","KAR ","22",23,218
162,188,"Prof. Saif-ud-Din Soz","J & K ","13",23,218
163,189,"Shri Balbir Punj","OR ","20",23,218
164,189,"Shri Jairam Ramesh","KAR ","M",23,218
165,191,"Shri Rajeev Shukla","MH ","20",23,218
166,191,"Shri Kalraj Mishra","UP ","20",23,218
167,191,"Dr. T. Subbarami Reddy","AP ","17",23,218
168,192,"Shri Birendra Prasad Baishya","AS ","22",23,218
169,192,"Shri Murli Deora","MH ","M",23,218
170,193,"Shri Narendra Budania","RJ ","21",23,218
171,193,"Shri S. Anbalagan","TN ","9",23,218
172,194,"Shri N. Balaganga","TN ","7",23,218
173,195,"Shri Mohd. Ali Khan","AP ","21",23,218
174,196,"Shri Lalit Kishore Chaturvedi","RJ ","19",23,218
175,196,"Miss Anusuiya Uikey","MP ","15",23,218
176,199,"Shri Mohammad Shafi","J & K ","18",23,218
177,200,"Shri V. Hanumantha Rao","TG ","17",23,218
178,200,"Shri Raj Mohinder Singh Majitha","PB ","14",23,218
179,201,"Shri Jesudasu Seelam","AP ","21",23,218
180,201,"Dr. Ejaz Ali","BR ","20",23,218
181,202,"Shri Shivpratap Singh","CHT ","15",23,218
182,202,"Shri Shadi Lal Batra","HR ","18",23,218
183,202,"Shri Abdul Wahab","KR ","7",23,218
184,203,"Shri Krishan Lal Balmiki","RJ ","23",23,218
185,203,"Shri Parvez Hashmi","DL ","21",23,218
186,204,"Dr. K.V.P. Ramachandra Rao","TG ","9",23,218
187,204,"Shri Raghunandan Sharma","MP ","18",23,218
188,206,"Shri Rudra Narayan Pany","OR ","21",23,218
189,207,"Shri Kumar Deepak Das","AS ","23",23,218
190,208,"Shri N.R. Govindarajar","TN ","6",23,218
191,209,"Shri T.T.V. Dhinakaran","TN ","3",23,218
192,209,"Shri A. Elavarasan","TN ","11",23,218
193,211,"Dr. Bharatkumar Raut","MH ","19",23,218
194,213,"Shri Surendra Motilal Patel","GJ ","10",23,218
195,214,"Shri Shantaram Naik","GOA ","21",23,218
196,214,"Shri Bhagirathi Majhi","OR ","23",23,218
197,214,"Shri Praveen Rashtrapal","GJ ","23",23,218
198,217,"Shri George Fernandes","BR ","6",23,218
199,218,"Shri G. N. Ratanpuri","J & K ","20",23,218
200,227,"Shri Dhiraj Prasad Sahu","JHK ","7",23,218
201,228,"Shri Ghulam Nabi Azad","J & K ","M",23,218
202,229,"Prof. P.J. Kurien","KR ","HDC",23,218
203,230,"Shri Satyavrat Chaturvedi","MP ","21",23,218
204,230,"Smt. Maya Singh","MP ","9",23,218
205,230,"Shri Bhubaneswar Kalita","AS ","21",23,218
206,231,"Shri Bhagat Singh Koshyari","UTK ","20",23,218
207,231,"Smt. Ambika Soni","PB ","M",23,218
208,232,"Smt. Mohsina Kidwai","CHT ","19",23,218
209,233,"Shri Ashwani Kumar","PB ","22",23,218
210,233,"Shri Ramdas Agarwal","RJ ","10",23,218
211,233,"Shri B.K. Hariprasad","KAR ","20",23,218
212,234,"Shri Vayalar Ravi","KR ","M",23,218
213,235,"Dr. Abhishek Manu Singhvi","WB ","15",23,218
214,235,"Shri Vijaykumar Rupani","GJ ","16",23,218
215,236,"Smt. Viplove Thakur","HP ","23",23,218
216,237,"Shri Satish Sharma","UP ","22",23,218
217,237,"Shri Mukut Mithi","AR ","21",23,218
218,240,"Shri Natuji Halaji Thakor","GJ ","11",23,218
219,240,"Shri K.B. Shanappa","KAR ","17",23,218
220,240,"Dr. M.S. Gill","PB ","M",23,218
221,241,"Shri Shreegopal Vyas","CHT ","23",23,218
222,241,"Dr. E.M. Sudarsana Natchiappan","TN ","23",23,218
223,241,"Shri Bharatsinh Prabhatsinh Parmar","GJ ","10",23,218
224,242,"Shri Vijay Jawaharlal Darda","MH ","9",23,218
225,244,"Shri Kanjibhai Patel","GJ ","20",23,218
226,244,"Shri Jai Prakash Narayan Singh","JHK ","11",23,218
227,245,"Shri Narayan Singh Kesari","MP ","19",23,218
228,247,"Dr. Gyan Prakash Pilania","RJ ","22",23,218
229,247,"Shri P. Kannan","PUD ","19",23,218
1,0,"Dr. Akhilesh Das Gupta","UP ","5",23,219
2,0,"Shri M. Rajasekara Murthy","KAR ","15",23,219
3,0,"Shri Varinder Singh Bajwa","PB ","9",23,219
4,0,"Shri Dharam Pal Sabharwal","PB ","23",23,219
5,0,"Shri Shivraj Vishwanath Patil","MH ","21",23,219
6,0,"Shri Avtar Singh Karimpuri","UP ","21",23,219
7,0,"Smt. Kusum Rai","UP ","11",23,219
8,0,"Shri Brajesh Pathak","UP ","6",23,219
9,0,"Shri Mohammed Adeeb","UP ","22",23,219
10,0,"Shri S.M. Krishna","KAR ","M",23,219
11,1,"Shri Arun Jaitley","UP ","LOP",23,219
12,7,"*Shri Anil Madhav Dave","MP ","9",23,219
13,8,"Shri Kaptan Singh Solanki","MP ","20",23,219
14,8,"Shri Parshottam Rupala","GJ ","10",23,219
15,9,"*Shri Rishang Keishing","MN ","13",23,219
16,10,"Shri R.K. Dhawan","BR ","15",23,219
17,10,"Shri Prithviraj Chavan","MH ","M",23,219
18,12,"*Ms. Sushila Tiriya","OR ","16",23,219
19,12,"Shri Nand Kumar Sai","CHT ","9",23,219
20,15,"Dr. Prabha Thakur","RJ ","10",23,219
21,16,"Prof. Alka Balram Kshatriya","GJ ","22",23,219
22,18,"Shri Silvius Condpan","AS ","23",23,219
23,24,"Shri M. Venkaiah Naidu","RJ ","14",23,219
24,25,"Shri Ravi Shankar Prasad","BR ","14",23,219
25,29,"Shri Prakash Javadekar","MH ","19",23,219
26,31,"Shri G.K. Vasan","TN ","M",23,219
27,32,"Shri M. Rama Jois","KAR ","23",23,219
28,37,"Shri Santosh Bagrodia","RJ ","20",23,219
29,38,"Smt. Jayanthi Natarajan","TN ","14",23,219
30,38,"Shri Sanjay Raut","MH ","9",23,219
31,39,"Dr. Najma A. Heptulla","MP ","21",23,219
32,39,"Shri Om Prakash Mathur","RJ ","16",23,219
33,41,"*Dr. C.P. Thakur","BR ","6",23,219
34,41,"Ms. Mabel Rebello","JHK ","9",23,219
35,41,"Shri Nandi Yellaiah","AP ","16",23,219
36,42,"*Shri Prabhat Jha","MP ","7",23,219
37,45,"Shri Naresh Gujral","PB ","21",23,219
38,46,"Smt. Syeda Anwara Taimur","AS ","16",23,219
39,48,"Shri Parimal Nathwani","JHK ","8",23,219
40,49,"Shri Rama Chandra Khuntia","OR ","12",23,219
41,50,"Shri Raashid Alvi","AP ","21",23,219
42,50,"Dr. Ram Prakash","HR ","23",23,219
43,51,"Shri Vinay Katiyar","UP ","9",23,219
44,52,"Shri Rajeev Chandrasekhar","KAR ","16",23,219
45,52,"Dr. Dasari Narayana Rao","AP ","3",23,219
46,53,"Shri Rajkumar Dhoot","MH ","10",23,219
47,53,"Shri Arjun Kumar Sengupta","WB ","17",23,219
48,54,"Shri G. Sanjeeva Reddy","AP ","13",23,219
49,55,"Shri B. S. Gnanadesikan","TN ","15",23,219
50,56,"Shri Ishwar Singh","HR ","23",23,219
51,58,"Shri Lalhming Liana","MZ ","17",23,219
52,64,"Smt. T. Ratna Bai","AP ","22",23,219
53,66,"Shri Anil H. Lad","KAR ","16",23,219
54,70,"Dr. Radhakant Nayak","OR ","10",23,219
55,71,"Shri Gireesh Kumar Sanghi","AP ","13",23,219
56,73,"Shri Hemant Soren","JHK ","2",23,219
57,74,"Shri Biswajit Daimary","AS ","19",23,219
58,74,"*Shri Swapan Sadhan Bose","WB ","5",23,219
59,75,"Dr. N. Janardhana Reddy","AP ","16",23,219
60,79,"Shri Tariq Anwar","MH ","20",23,219
61,83,"Smt. Brinda Karat","WB ","21",23,219
62,83,"Shri Moinul Hassan","WB ","19",23,219
63,84,"Dr. Yogendra P. Trivedi","MH ","14",23,219
64,85,"Shri Jabir Husain","BR ","20",23,219
65,86,"Dr. V. Maitreyan","TN ","7",23,219
